Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accountStats,FetchBattleCount,1116.936,R,battleCount,,,,
accounts,FetchClassicSessionCount,1116.946,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1116.946,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1146.920,R,lastActivity,,,,
accounts,FetchBattleCount,1146.930,R,banned,,,,
accountStats,FetchBattleCount,1146.930,R,battleCount,,,,
accounts,FetchClassicSessionCount,1146.940,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1146.940,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1176.926,R,lastActivity,,,,
accounts,FetchBattleCount,1176.936,R,banned,,,,
accountStats,FetchBattleCount,1176.936,R,battleCount,,,,
accounts,FetchClassicSessionCount,1176.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1176.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1206.926,R,lastActivity,,,,
accounts,FetchBattleCount,1206.937,R,banned,,,,
accountStats,FetchBattleCount,1206.937,R,battleCount,,,,
accounts,FetchClassicSessionCount,1206.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1206.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1236.920,R,lastActivity,,,,
accounts,FetchBattleCount,1236.931,R,banned,,,,
accountStats,FetchBattleCount,1236.931,R,battleCount,,,,
accounts,FetchClassicSessionCount,1236.941,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1236.941,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1266.927,R,lastActivity,,,,
accounts,FetchBattleCount,1266.938,R,banned,,,,
accountStats,FetchBattleCount,1266.938,R,battleCount,,,,
accounts,FetchClassicSessionCount,1266.948,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1266.948,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1296.926,R,lastActivity,,,,
accounts,FetchBattleCount,1296.936,R,banned,,,,
accountStats,FetchBattleCount,1296.936,R,battleCount,,,,
accounts,FetchClassicSessionCount,1296.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1296.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1326.926,R,lastActivity,,,,
accounts,FetchBattleCount,1326.936,R,banned,,,,
accountStats,FetchBattleCount,1326.936,R,battleCount,,,,
accounts,FetchClassicSessionCount,1326.946,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1326.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1356.926,R,lastActivity,,,,
accounts,FetchBattleCount,1356.937,R,banned,,,,
accountStats,FetchBattleCount,1356.937,R,battleCount,,,,
accounts,FetchClassicSessionCount,1356.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1356.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1386.926,R,lastActivity,,,,
accounts,FetchBattleCount,1386.937,R,banned,,,,
accountStats,FetchBattleCount,1386.937,R,battleCount,,,,
accounts,FetchClassicSessionCount,1386.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1386.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1416.926,R,lastActivity,,,,
accounts,FetchBattleCount,1416.936,R,banned,,,,
accountStats,FetchBattleCount,1416.936,R,battleCount,,,,
accounts,FetchClassicSessionCount,1416.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1416.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1446.927,R,lastActivity,,,,
accounts,FetchBattleCount,1446.937,R,banned,,,,
accountStats,FetchBattleCount,1446.937,R,battleCount,,,,
accounts,FetchClassicSessionCount,1446.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1446.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1476.926,R,lastActivity,,,,
accounts,FetchBattleCount,1476.937,R,banned,,,,
accountStats,FetchBattleCount,1476.937,R,battleCount,,,,
accounts,FetchClassicSessionCount,1476.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1476.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1506.926,R,lastActivity,,,,
accounts,FetchBattleCount,1506.936,R,banned,,,,
accountStats,FetchBattleCount,1506.937,R,battleCount,,,,
accounts,FetchClassicSessionCount,1506.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1506.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1536.926,R,lastActivity,,,,
accounts,FetchBattleCount,1536.936,R,banned,,,,
accountStats,FetchBattleCount,1536.936,R,battleCount,,,,
accounts,FetchClassicSessionCount,1536.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,1536.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,1566.927,R,lastActivity,,,,
accounts,FetchBattleCount,1566.938,R,banned,,,,
accountStats,FetchBattleCount,1566.938,R,battleCount,,,,
accounts,FetchClassicSessionCount,1566.948,R,classicSessionPlayedCount,,,,
