Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchPlayerCount,152.546,R,lastActivity,,,,
accounts,FetchBattleCount,152.558,R,banned,,,,
accountStats,FetchBattleCount,152.558,R,battleCount,,,,
accounts,FetchClassicSessionCount,152.567,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,152.567,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,155.139,R,uuid,,,,
accounts,FetchUsernameFromUUID,155.139,R,userName,,,,
accounts,FetchDiscordIdByUsername,155.140,R,discordId,,,,
accounts,FetchGoogleIdByUsername,155.141,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,155.141,R,slot,,,,
sessions,FetchUUIDFromToken,156.364,R,uuid,,,,
activeClientSessions,IsActiveSession,156.365,R,id,,,,
systemSaveData,ReadSystemSaveData,156.365,R,data,,,,
sessions,FetchUUIDFromToken,160.997,R,uuid,,,,
activeClientSessions,UpdateActiveSession,160.998,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,160.998,R,data,,,,
sessions,RemoveSessionFromToken,164.137,W,token,,,,
