Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,UpdateAccountLastActivity,416.589,W,lastActivity,,,,
accountStats,UpdateAccountStats,416.592,W,stats,,,,
systemSaveData,StoreSystemSaveData,416.624,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,462.751,R,uuid,,,,
activeClientSessions,IsActiveSession,462.752,R,id,,,,
verify system,,462.752,,,,,,
sessions,FetchUUIDFromToken,499.219,R,uuid,,,,
activeClientSessions,IsActiveSession,499.220,R,id,,,,
verify system,,499.220,,,,,,
sessions,FetchUUIDFromToken,528.164,R,uuid,,,,
activeClientSessions,IsActiveSession,528.164,R,id,,,,
verify system,,528.164,,,,,,
sessions,FetchUUIDFromToken,575.534,R,uuid,,,,
activeClientSessions,IsActiveSession,575.535,R,id,,,,
verify system,,575.535,,,,,,
sessions,FetchUUIDFromToken,608.429,R,uuid,,,,
updateAll,,608.429,,,,,,
activeClientSessions,IsActiveSession,608.636,R,id,,,,
accounts,FetchTrainerIds,608.637,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,608.637,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,608.638,R,data,,,,
accounts,UpdateAccountLastActivity,608.642,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,608.657,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,608.658,W,lastActivity,,,,
accountStats,UpdateAccountStats,608.661,W,stats,,,,
systemSaveData,StoreSystemSaveData,608.686,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,702.443,R,uuid,,,,
activeClientSessions,IsActiveSession,702.444,R,id,,,,
verify system,,702.444,,,,,,
sessions,FetchUUIDFromToken,727.507,R,uuid,,,,
activeClientSessions,IsActiveSession,727.508,R,id,,,,
verify system,,727.508,,,,,,
sessions,FetchUUIDFromToken,809.402,R,uuid,,,,
Info,,809.402,,,,,,
accounts,FetchUsernameFromUUID,809.403,R,userName,,,,
accounts,FetchDiscordIdByUsername,809.404,R,discordId,,,,
accounts,FetchGoogleIdByUsername,809.405,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,809.406,R,slot,,,,
sessions,FetchUUIDFromToken,809.623,R,uuid,,,,
activeClientSessions,IsActiveSession,809.624,R,id,,,,
get system,,809.624,,,,,,
activeClientSessions,UpdateActiveSession,809.626,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,809.627,R,data,,,,
sessions,FetchUUIDFromToken,841.659,R,uuid,,,,
activeClientSessions,IsActiveSession,841.659,R,id,,,,
verify system,,841.659,,,,,,
sessions,FetchUUIDFromToken,899.801,R,uuid,,,,
activeClientSessions,IsActiveSession,899.802,R,id,,,,
verify system,,899.802,,,,,,
sessions,FetchUUIDFromToken,1011.889,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1011.890,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1011.891,R,data,,,,
newclear session,,1011.893,,,,,,
sessions,FetchUUIDFromToken,1013.393,R,uuid,,,,
updateAll,,1013.394,,,,,,
activeClientSessions,IsActiveSession,1013.808,R,id,,,,
accounts,FetchTrainerIds,1013.808,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1013.809,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1013.809,R,data,,,,
accounts,UpdateAccountLastActivity,1013.815,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1013.840,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1013.841,W,lastActivity,,,,
accountStats,UpdateAccountStats,1013.845,W,stats,,,,
systemSaveData,StoreSystemSaveData,1013.869,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1014.081,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1014.082,W,uuid,clientSessionId,,,
clear session,,1014.082,,,,,,
accounts,UpdateAccountLastActivity,1014.085,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,1014.090,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,1014.296,R,uuid,,,,
Info,,1014.296,,,,,,
accounts,FetchUsernameFromUUID,1014.297,R,userName,,,,
accounts,FetchDiscordIdByUsername,1014.298,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1014.299,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1014.300,R,slot,,,,
sessions,FetchUUIDFromToken,1015.948,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1015.949,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1015.950,R,data,,,,
sessions,FetchUUIDFromToken,1015.956,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1015.957,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1015.958,R,data,,,,
sessions,FetchUUIDFromToken,1015.960,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1015.961,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1015.961,R,data,,,,
sessions,FetchUUIDFromToken,1015.962,R,uuid,,,,
sessions,FetchUUIDFromToken,1015.962,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1015.963,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,1015.963,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1015.963,R,data,,,,
sessionSaveData,ReadSessionSaveData,1015.964,R,data,,,,
sessions,FetchUUIDFromToken,1016.708,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1016.708,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1016.709,R,data,,,,
sessions,FetchUUIDFromToken,1016.715,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1016.716,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1016.717,R,data,,,,
sessions,FetchUUIDFromToken,1016.871,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1016.871,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1016.872,R,data,,,,
sessions,FetchUUIDFromToken,1016.876,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1016.877,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,1016.877,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1016.877,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1016.877,R,data,,,,
sessionSaveData,ReadSessionSaveData,1016.878,R,data,,,,
sessions,FetchUUIDFromToken,1065.464,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1065.465,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1065.466,R,data,,,,
sessions,FetchUUIDFromToken,1065.471,R,uuid,,,,
sessions,FetchUUIDFromToken,1065.471,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1065.471,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,1065.471,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,1065.471,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,1065.472,R,data,,,,
activeClientSessions,UpdateActiveSession,1065.472,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1065.473,R,data,,,,
sessionSaveData,ReadSessionSaveData,1065.473,R,data,,,,
