Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
activeClientSessions,UpdateActiveSession,702.836,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,702.836,R,uuid,,,,
sessions,FetchUUIDFromToken,702.837,R,uuid,,,,
sessions,FetchUUIDFromToken,702.837,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,702.837,R,data,,,,
activeClientSessions,UpdateActiveSession,702.837,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,702.838,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,702.838,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,702.838,R,data,,,,
sessionSaveData,ReadSessionSaveData,702.838,R,data,,,,
sessions,FetchUUIDFromToken,702.839,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,702.839,R,data,,,,
activeClientSessions,UpdateActiveSession,702.840,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,702.840,R,data,,,,
sessions,FetchUUIDFromToken,704.331,R,uuid,,,,
updateAll,,704.331,,,,,,
activeClientSessions,IsActiveSession,705.052,R,id,,,,
accounts,FetchTrainerIds,705.053,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,705.054,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,705.054,R,data,,,,
accounts,UpdateAccountLastActivity,705.056,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,705.060,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,705.060,W,lastActivity,,,,
accountStats,UpdateAccountStats,705.062,W,stats,,,,
systemSaveData,StoreSystemSaveData,705.081,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,726.638,R,uuid,,,,
activeClientSessions,IsActiveSession,726.639,R,id,,,,
verify system,,726.639,,,,,,
sessions,FetchUUIDFromToken,750.531,R,uuid,,,,
activeClientSessions,IsActiveSession,750.532,R,id,,,,
verify system,,750.532,,,,,,
sessions,FetchUUIDFromToken,780.465,R,uuid,,,,
activeClientSessions,IsActiveSession,780.465,R,id,,,,
verify system,,780.465,,,,,,
sessions,FetchUUIDFromToken,809.463,R,uuid,,,,
activeClientSessions,IsActiveSession,809.464,R,id,,,,
verify system,,809.464,,,,,,
sessions,FetchUUIDFromToken,864.820,R,uuid,,,,
updateAll,,864.820,,,,,,
activeClientSessions,IsActiveSession,865.538,R,id,,,,
accounts,FetchTrainerIds,865.538,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,865.539,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,865.540,R,data,,,,
accounts,UpdateAccountLastActivity,865.542,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,865.552,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,865.553,W,lastActivity,,,,
accountStats,UpdateAccountStats,865.554,W,stats,,,,
systemSaveData,StoreSystemSaveData,865.570,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,917.386,R,uuid,,,,
activeClientSessions,IsActiveSession,917.387,R,id,,,,
verify system,,917.387,,,,,,
sessions,FetchUUIDFromToken,938.468,R,uuid,,,,
activeClientSessions,IsActiveSession,938.469,R,id,,,,
verify system,,938.469,,,,,,
sessions,FetchUUIDFromToken,1023.754,R,uuid,,,,
activeClientSessions,IsActiveSession,1023.755,R,id,,,,
verify system,,1023.755,,,,,,
sessions,FetchUUIDFromToken,1047.652,R,uuid,,,,
activeClientSessions,IsActiveSession,1047.653,R,id,,,,
verify system,,1047.653,,,,,,
sessions,FetchUUIDFromToken,1101.891,R,uuid,,,,
updateAll,,1101.891,,,,,,
activeClientSessions,IsActiveSession,1102.080,R,id,,,,
accounts,FetchTrainerIds,1102.081,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1102.081,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1102.082,R,data,,,,
accounts,UpdateAccountLastActivity,1102.085,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1102.092,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1102.093,W,lastActivity,,,,
accountStats,UpdateAccountStats,1102.094,W,stats,,,,
systemSaveData,StoreSystemSaveData,1102.109,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1157.998,R,uuid,,,,
activeClientSessions,IsActiveSession,1157.999,R,id,,,,
verify system,,1157.999,,,,,,
sessions,FetchUUIDFromToken,1207.328,R,uuid,,,,
activeClientSessions,IsActiveSession,1207.329,R,id,,,,
verify system,,1207.329,,,,,,
sessions,FetchUUIDFromToken,1285.263,R,uuid,,,,
activeClientSessions,IsActiveSession,1285.263,R,id,,,,
verify system,,1285.263,,,,,,
sessions,FetchUUIDFromToken,1308.999,R,uuid,,,,
activeClientSessions,IsActiveSession,1309.000,R,id,,,,
verify system,,1309.000,,,,,,
sessions,FetchUUIDFromToken,1334.772,R,uuid,,,,
updateAll,,1334.772,,,,,,
activeClientSessions,IsActiveSession,1335.319,R,id,,,,
accounts,FetchTrainerIds,1335.320,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1335.320,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1335.321,R,data,,,,
accounts,UpdateAccountLastActivity,1335.324,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1335.333,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1335.333,W,lastActivity,,,,
accountStats,UpdateAccountStats,1335.335,W,stats,,,,
systemSaveData,StoreSystemSaveData,1335.350,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1359.800,R,uuid,,,,
activeClientSessions,IsActiveSession,1359.801,R,id,,,,
verify system,,1359.801,,,,,,
