Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.002,R,key,salt,,,
accounts,AddAccountSession,0.493,R,uuid,token,expire,,
sessions,AddAccountSession,0.493,W,uuid,token,expire,,
accounts,AddAccountSession,0.496,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,0.872,R,uuid,,,,
accounts,FetchUsernameFromUUID,0.873,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.874,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.874,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.875,R,slot,,,,
sessions,FetchUUIDFromToken,1.238,R,uuid,,,,
activeClientSessions,IsActiveSession,1.238,R,id,,,,
activeClientSessions,UpdateActiveSession,1.240,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,1.240,R,data,,,,
sessions,FetchUUIDFromToken,6.872,R,uuid,,,,
activeClientSessions,UpdateActiveSession,6.873,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,6.873,R,data,,,,
accounts,FetchPlayerCount,12.984,R,lastActivity,,,,
accounts,FetchBattleCount,12.995,R,banned,,,,
accountStats,FetchBattleCount,12.995,R,battleCount,,,,
accounts,FetchClassicSessionCount,13.004,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,13.004,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,24.158,R,uuid,,,,
activeClientSessions,UpdateActiveSession,24.159,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,24.160,R,data,,,,
sessions,FetchUUIDFromToken,24.334,R,uuid,,,,
activeClientSessions,UpdateActiveSession,24.335,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,24.336,R,data,,,,
sessions,FetchUUIDFromToken,24.338,R,uuid,,,,
activeClientSessions,UpdateActiveSession,24.339,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,24.339,R,data,,,,
sessions,FetchUUIDFromToken,24.340,R,uuid,,,,
activeClientSessions,UpdateActiveSession,24.341,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,24.342,R,data,,,,
sessions,FetchUUIDFromToken,26.711,R,uuid,,,,
accounts,FetchUsernameFromUUID,26.712,R,userName,,,,
accounts,FetchDiscordIdByUsername,26.712,R,discordId,,,,
accounts,FetchGoogleIdByUsername,26.713,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,26.713,R,slot,,,,
sessions,FetchUUIDFromToken,27.079,R,uuid,,,,
activeClientSessions,UpdateActiveSession,27.079,W,uuid,clientSessionId,,,
sessionSaveData,DeleteSessionSaveData,27.081,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,28.935,R,uuid,,,,
activeClientSessions,IsActiveSession,29.498,R,id,,,,
accounts,FetchTrainerIds,29.499,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,29.500,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,29.500,R,data,,,,
accounts,UpdateAccountLastActivity,29.502,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,29.508,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,29.508,W,lastActivity,,,,
accountStats,UpdateAccountStats,29.510,W,stats,,,,
systemSaveData,StoreSystemSaveData,29.515,W,uuid,data,timeStamp,,
accounts,FetchPlayerCount,42.985,R,lastActivity,,,,
accounts,FetchBattleCount,42.994,R,banned,,,,
accountStats,FetchBattleCount,42.994,R,battleCount,,,,
accounts,FetchClassicSessionCount,43.004,R,classicSessionPlayedCount,,,,
