Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.001,R,key,salt,,,
accounts,AddAccountSession,0.496,R,uuid,token,expire,,
sessions,AddAccountSession,0.496,W,uuid,token,expire,,
accounts,AddAccountSession,0.498,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,0.860,R,uuid,,,,
accounts,FetchUsernameFromUUID,0.861,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.861,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.862,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.863,R,slot,,,,
sessions,FetchUUIDFromToken,1.253,R,uuid,,,,
activeClientSessions,IsActiveSession,1.254,R,id,,,,
systemSaveData,ReadSystemSaveData,1.255,R,data,,,,
sessions,FetchUUIDFromToken,7.461,R,uuid,,,,
activeClientSessions,UpdateActiveSession,7.462,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,7.463,R,data,,,,
accounts,FetchPlayerCount,16.407,R,lastActivity,,,,
accounts,FetchBattleCount,16.416,R,banned,,,,
accountStats,FetchBattleCount,16.416,R,battleCount,,,,
accounts,FetchClassicSessionCount,16.425,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,16.425,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,24.326,R,uuid,,,,
activeClientSessions,UpdateActiveSession,24.327,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,24.328,R,data,,,,
sessions,FetchUUIDFromToken,24.497,R,uuid,,,,
activeClientSessions,UpdateActiveSession,24.498,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,24.499,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,24.499,R,data,,,,
activeClientSessions,UpdateActiveSession,24.499,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,24.500,R,data,,,,
sessions,FetchUUIDFromToken,24.502,R,uuid,,,,
activeClientSessions,UpdateActiveSession,24.503,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,24.503,R,data,,,,
sessions,FetchUUIDFromToken,27.490,R,uuid,,,,
accounts,FetchUsernameFromUUID,27.490,R,userName,,,,
accounts,FetchDiscordIdByUsername,27.491,R,discordId,,,,
accounts,FetchGoogleIdByUsername,27.491,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,27.492,R,slot,,,,
