Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.002,R,key,salt,,,
accounts,AddAccountSession,0.661,R,uuid,token,expire,,
sessions,AddAccountSession,0.661,W,uuid,token,expire,,
accounts,AddAccountSession,0.663,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,1.029,R,uuid,,,,
accounts,FetchUsernameFromUUID,1.030,R,userName,,,,
accounts,FetchDiscordIdByUsername,1.030,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1.031,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1.032,R,slot,,,,
sessions,FetchUUIDFromToken,1.398,R,uuid,,,,
systemSaveData,ReadSystemSaveData,1.400,R,data,,,,
accounts,FetchPlayerCount,15.260,R,lastActivity,,,,
accounts,FetchBattleCount,15.269,R,banned,,,,
accountStats,FetchBattleCount,15.269,R,battleCount,,,,
accounts,FetchClassicSessionCount,15.278,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,15.278,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,18.618,R,uuid,,,,
activeClientSessions,UpdateActiveSession,18.619,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,18.620,R,data,,,,
sessions,FetchUUIDFromToken,39.842,R,uuid,,,,
activeClientSessions,UpdateActiveSession,39.843,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,39.844,R,data,,,,
sessions,FetchUUIDFromToken,39.846,R,uuid,,,,
activeClientSessions,UpdateActiveSession,39.847,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,39.848,R,data,,,,
sessions,FetchUUIDFromToken,39.848,R,uuid,,,,
activeClientSessions,UpdateActiveSession,39.849,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,39.850,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,39.850,R,data,,,,
activeClientSessions,UpdateActiveSession,39.850,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,39.851,R,data,,,,
sessions,FetchUUIDFromToken,44.318,R,uuid,,,,
accounts,FetchUsernameFromUUID,44.319,R,userName,,,,
accounts,FetchDiscordIdByUsername,44.320,R,discordId,,,,
accounts,FetchGoogleIdByUsername,44.320,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,44.321,R,slot,,,,
sessions,FetchUUIDFromToken,44.685,R,uuid,,,,
activeClientSessions,UpdateActiveSession,44.686,W,uuid,clientSessionId,,,
sessionSaveData,DeleteSessionSaveData,44.687,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,45.192,R,uuid,,,,
accounts,FetchPlayerCount,45.248,R,lastActivity,,,,
accounts,FetchBattleCount,45.257,R,banned,,,,
accountStats,FetchBattleCount,45.257,R,battleCount,,,,
accounts,FetchClassicSessionCount,45.266,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,45.266,R,classicSessionPlayedCount,,,,
accounts,FetchTrainerIds,45.744,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,45.745,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,45.746,R,data,,,,
accounts,UpdateAccountLastActivity,45.747,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,45.752,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,45.753,W,lastActivity,,,,
accountStats,UpdateAccountStats,45.754,W,stats,,,,
systemSaveData,StoreSystemSaveData,45.759,W,uuid,data,timeStamp,,
accounts,FetchPlayerCount,75.274,R,lastActivity,,,,
accounts,FetchBattleCount,75.282,R,banned,,,,
accountStats,FetchBattleCount,75.283,R,battleCount,,,,
accounts,FetchClassicSessionCount,75.291,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,75.291,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,105.250,R,lastActivity,,,,
accounts,FetchBattleCount,105.258,R,banned,,,,
accountStats,FetchBattleCount,105.258,R,battleCount,,,,
accounts,FetchClassicSessionCount,105.267,R,classicSessionPlayedCount,,,,
