Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.001,R,key,salt,,,
accounts,AddAccountSession,0.528,R,uuid,token,expire,,
sessions,AddAccountSession,0.528,W,uuid,token,expire,,
accounts,AddAccountSession,0.531,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,0.899,R,uuid,,,,
accounts,FetchUsernameFromUUID,0.899,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.900,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.900,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.901,R,slot,,,,
sessions,FetchUUIDFromToken,1.265,R,uuid,,,,
activeClientSessions,IsActiveSession,1.265,R,id,,,,
activeClientSessions,UpdateActiveSession,1.267,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,1.268,R,data,,,,
accounts,FetchPlayerCount,15.862,R,lastActivity,,,,
accounts,FetchBattleCount,15.872,R,banned,,,,
accountStats,FetchBattleCount,15.872,R,battleCount,,,,
accounts,FetchClassicSessionCount,15.882,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,15.882,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,16.845,R,uuid,,,,
activeClientSessions,UpdateActiveSession,16.845,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,16.846,R,data,,,,
sessions,FetchUUIDFromToken,35.181,R,uuid,,,,
activeClientSessions,UpdateActiveSession,35.181,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,35.182,R,data,,,,
sessions,FetchUUIDFromToken,35.184,R,uuid,,,,
activeClientSessions,UpdateActiveSession,35.184,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,35.185,R,data,,,,
sessions,FetchUUIDFromToken,35.187,R,uuid,,,,
activeClientSessions,UpdateActiveSession,35.188,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,35.188,R,data,,,,
sessions,FetchUUIDFromToken,35.594,R,uuid,,,,
activeClientSessions,UpdateActiveSession,35.594,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,35.595,R,data,,,,
sessions,FetchUUIDFromToken,39.410,R,uuid,,,,
accounts,FetchUsernameFromUUID,39.410,R,userName,,,,
accounts,FetchDiscordIdByUsername,39.411,R,discordId,,,,
accounts,FetchGoogleIdByUsername,39.411,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,39.412,R,slot,,,,
sessions,FetchUUIDFromToken,40.204,R,uuid,,,,
activeClientSessions,UpdateActiveSession,40.204,W,uuid,clientSessionId,,,
sessionSaveData,DeleteSessionSaveData,40.206,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,41.138,R,uuid,,,,
activeClientSessions,IsActiveSession,41.179,R,id,,,,
accounts,FetchTrainerIds,41.179,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,41.180,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,41.181,R,data,,,,
accounts,UpdateAccountLastActivity,41.182,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,41.187,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,41.188,W,lastActivity,,,,
accountStats,UpdateAccountStats,41.190,W,stats,,,,
systemSaveData,StoreSystemSaveData,41.195,W,uuid,data,timeStamp,,
accounts,FetchPlayerCount,45.858,R,lastActivity,,,,
accounts,FetchBattleCount,45.867,R,banned,,,,
accountStats,FetchBattleCount,45.867,R,battleCount,,,,
accounts,FetchClassicSessionCount,45.877,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,45.877,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,75.865,R,lastActivity,,,,
accounts,FetchBattleCount,75.875,R,banned,,,,
accountStats,FetchBattleCount,75.875,R,battleCount,,,,
accounts,FetchClassicSessionCount,75.884,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,75.884,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,79.382,R,uuid,,,,
activeClientSessions,IsActiveSession,79.383,R,id,,,,
accounts,FetchPlayerCount,105.864,R,lastActivity,,,,
accounts,FetchBattleCount,105.874,R,banned,,,,
accountStats,FetchBattleCount,105.874,R,battleCount,,,,
accounts,FetchClassicSessionCount,105.884,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,105.884,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,119.597,R,uuid,,,,
activeClientSessions,IsActiveSession,119.598,R,id,,,,
sessions,FetchUUIDFromToken,133.276,R,uuid,,,,
activeClientSessions,IsActiveSession,133.277,R,id,,,,
accounts,FetchPlayerCount,135.855,R,lastActivity,,,,
accounts,FetchBattleCount,135.864,R,banned,,,,
accountStats,FetchBattleCount,135.864,R,battleCount,,,,
accounts,FetchClassicSessionCount,135.874,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,135.874,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,151.425,R,uuid,,,,
activeClientSessions,IsActiveSession,151.426,R,id,,,,
accounts,FetchPlayerCount,165.863,R,lastActivity,,,,
accounts,FetchBattleCount,165.872,R,banned,,,,
accountStats,FetchBattleCount,165.872,R,battleCount,,,,
accounts,FetchClassicSessionCount,165.882,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,165.882,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,195.854,R,lastActivity,,,,
accounts,FetchBattleCount,195.864,R,banned,,,,
accountStats,FetchBattleCount,195.864,R,battleCount,,,,
accounts,FetchClassicSessionCount,195.873,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,195.873,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,197.466,R,uuid,,,,
activeClientSessions,IsActiveSession,197.537,R,id,,,,
accounts,FetchTrainerIds,197.538,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,197.539,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,197.539,R,data,,,,
accounts,UpdateAccountLastActivity,197.541,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,197.548,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,197.549,W,lastActivity,,,,
accountStats,UpdateAccountStats,197.551,W,stats,,,,
systemSaveData,StoreSystemSaveData,197.561,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,205.742,R,uuid,,,,
activeClientSessions,IsActiveSession,205.786,R,id,,,,
accounts,FetchTrainerIds,205.786,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,205.787,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,205.788,R,data,,,,
