login start!,,0.000,,,,,,
login,,0.000,,,,,,
sessions,FetchUUIDFromToken,0.191,R,uuid,,,,
Info,,0.191,,,,,,
accounts,FetchUsernameFromUUID,0.192,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.193,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.194,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.195,R,slot,,,,
sessions,FetchUUIDFromToken,0.377,R,uuid,,,,
activeClientSessions,IsActiveSession,0.378,R,id,,,,
get system,,0.378,,,,,,
systemSaveData,ReadSystemSaveData,0.379,R,data,,,,
sessions,FetchUUIDFromToken,0.652,R,uuid,,,,
activeClientSessions,UpdateActiveSession,0.652,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,0.653,R,data,,,,
sessions,RemoveSessionFromToken,8.595,W,token,,,,
logout,,8.595,,,,,,
