Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
sessions,FetchUUIDFromToken,375.109,R,uuid,,,,
updateAll,,375.109,,,,,,
activeClientSessions,IsActiveSession,375.487,R,id,,,,
accounts,FetchTrainerIds,375.488,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,375.489,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,375.489,R,data,,,,
accounts,UpdateAccountLastActivity,375.491,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,375.496,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,375.497,W,lastActivity,,,,
accountStats,UpdateAccountStats,375.499,W,stats,,,,
systemSaveData,StoreSystemSaveData,375.520,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,393.510,R,uuid,,,,
activeClientSessions,IsActiveSession,393.511,R,id,,,,
verify system,,393.511,,,,,,
sessions,FetchUUIDFromToken,406.253,R,uuid,,,,
activeClientSessions,IsActiveSession,406.254,R,id,,,,
verify system,,406.254,,,,,,
sessions,FetchUUIDFromToken,424.840,R,uuid,,,,
activeClientSessions,IsActiveSession,424.841,R,id,,,,
verify system,,424.841,,,,,,
sessions,FetchUUIDFromToken,470.737,R,uuid,,,,
activeClientSessions,IsActiveSession,470.738,R,id,,,,
verify system,,470.738,,,,,,
sessions,FetchUUIDFromToken,511.281,R,uuid,,,,
updateAll,,511.281,,,,,,
activeClientSessions,IsActiveSession,511.306,R,id,,,,
accounts,FetchTrainerIds,511.307,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,511.308,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,511.308,R,data,,,,
accounts,UpdateAccountLastActivity,511.311,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,511.322,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,511.323,W,lastActivity,,,,
accountStats,UpdateAccountStats,511.325,W,stats,,,,
systemSaveData,StoreSystemSaveData,511.348,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,530.546,R,uuid,,,,
activeClientSessions,IsActiveSession,530.547,R,id,,,,
verify system,,530.547,,,,,,
sessions,FetchUUIDFromToken,557.723,R,uuid,,,,
activeClientSessions,IsActiveSession,557.723,R,id,,,,
verify system,,557.723,,,,,,
sessions,FetchUUIDFromToken,639.316,R,uuid,,,,
activeClientSessions,IsActiveSession,639.317,R,id,,,,
verify system,,639.317,,,,,,
sessions,FetchUUIDFromToken,666.477,R,uuid,,,,
activeClientSessions,IsActiveSession,666.478,R,id,,,,
verify system,,666.478,,,,,,
sessions,FetchUUIDFromToken,697.137,R,uuid,,,,
updateAll,,697.137,,,,,,
activeClientSessions,IsActiveSession,697.160,R,id,,,,
accounts,FetchTrainerIds,697.161,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,697.161,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,697.162,R,data,,,,
accounts,UpdateAccountLastActivity,697.164,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,697.176,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,697.177,W,lastActivity,,,,
accountStats,UpdateAccountStats,697.179,W,stats,,,,
systemSaveData,StoreSystemSaveData,697.200,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,732.267,R,uuid,,,,
activeClientSessions,IsActiveSession,732.267,R,id,,,,
verify system,,732.268,,,,,,
sessions,FetchUUIDFromToken,762.825,R,uuid,,,,
activeClientSessions,IsActiveSession,762.825,R,id,,,,
verify system,,762.825,,,,,,
sessions,FetchUUIDFromToken,844.773,R,uuid,,,,
activeClientSessions,IsActiveSession,844.774,R,id,,,,
verify system,,844.774,,,,,,
sessions,FetchUUIDFromToken,949.891,R,uuid,,,,
activeClientSessions,IsActiveSession,949.892,R,id,,,,
verify system,,949.892,,,,,,
sessions,FetchUUIDFromToken,991.233,R,uuid,,,,
updateAll,,991.233,,,,,,
activeClientSessions,IsActiveSession,991.257,R,id,,,,
accounts,FetchTrainerIds,991.258,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,991.259,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,991.259,R,data,,,,
accounts,UpdateAccountLastActivity,991.263,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,991.275,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,991.275,W,lastActivity,,,,
accountStats,UpdateAccountStats,991.277,W,stats,,,,
systemSaveData,StoreSystemSaveData,991.297,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1028.806,R,uuid,,,,
activeClientSessions,IsActiveSession,1028.806,R,id,,,,
verify system,,1028.806,,,,,,
sessions,FetchUUIDFromToken,1072.103,R,uuid,,,,
activeClientSessions,IsActiveSession,1072.104,R,id,,,,
verify system,,1072.104,,,,,,
sessions,FetchUUIDFromToken,1100.382,R,uuid,,,,
activeClientSessions,IsActiveSession,1100.382,R,id,,,,
verify system,,1100.382,,,,,,
sessions,FetchUUIDFromToken,1148.075,R,uuid,,,,
activeClientSessions,IsActiveSession,1148.076,R,id,,,,
verify system,,1148.076,,,,,,
sessions,FetchUUIDFromToken,1219.203,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1219.204,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1219.205,R,data,,,,
newclear session,,1219.206,,,,,,
sessions,FetchUUIDFromToken,1222.419,R,uuid,,,,
updateAll,,1222.419,,,,,,
activeClientSessions,IsActiveSession,1222.444,R,id,,,,
accounts,FetchTrainerIds,1222.444,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1222.445,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1222.445,R,data,,,,
accounts,UpdateAccountLastActivity,1222.448,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1222.460,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1222.461,W,lastActivity,,,,
accountStats,UpdateAccountStats,1222.463,W,stats,,,,
systemSaveData,StoreSystemSaveData,1222.485,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1222.665,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1222.666,W,uuid,clientSessionId,,,
clear session,,1222.667,,,,,,
accounts,UpdateAccountLastActivity,1222.668,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,1222.669,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,1222.850,R,uuid,,,,
Info,,1222.850,,,,,,
accounts,FetchUsernameFromUUID,1222.850,R,userName,,,,
accounts,FetchDiscordIdByUsername,1222.851,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1222.852,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1222.853,R,slot,,,,
sessions,FetchUUIDFromToken,1263.829,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1263.829,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1263.830,R,data,,,,
