Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.002,R,key,salt,,,
accounts,AddAccountSession,0.651,R,uuid,token,expire,,
sessions,AddAccountSession,0.651,W,uuid,token,expire,,
accounts,AddAccountSession,0.654,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,1.026,R,uuid,,,,
accounts,FetchUsernameFromUUID,1.027,R,userName,,,,
accounts,FetchDiscordIdByUsername,1.027,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1.028,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1.029,R,slot,,,,
sessions,FetchUUIDFromToken,1.397,R,uuid,,,,
activeClientSessions,IsActiveSession,1.398,R,id,,,,
systemSaveData,ReadSystemSaveData,1.398,R,data,,,,
accounts,FetchPlayerCount,8.651,R,lastActivity,,,,
accounts,FetchBattleCount,8.660,R,banned,,,,
accountStats,FetchBattleCount,8.660,R,battleCount,,,,
accounts,FetchClassicSessionCount,8.669,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,8.669,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,15.173,R,uuid,,,,
activeClientSessions,UpdateActiveSession,15.173,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,15.174,R,data,,,,
accounts,FetchPlayerCount,38.659,R,lastActivity,,,,
accounts,FetchBattleCount,38.667,R,banned,,,,
accountStats,FetchBattleCount,38.667,R,battleCount,,,,
accounts,FetchClassicSessionCount,38.676,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,38.676,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,50.551,R,uuid,,,,
activeClientSessions,UpdateActiveSession,50.552,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,50.552,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,50.553,R,data,,,,
activeClientSessions,UpdateActiveSession,50.553,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,50.553,R,data,,,,
sessions,FetchUUIDFromToken,50.556,R,uuid,,,,
activeClientSessions,UpdateActiveSession,50.557,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,50.558,R,data,,,,
sessions,FetchUUIDFromToken,50.732,R,uuid,,,,
activeClientSessions,UpdateActiveSession,50.733,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,50.733,R,data,,,,
sessions,FetchUUIDFromToken,53.133,R,uuid,,,,
accounts,FetchUsernameFromUUID,53.134,R,userName,,,,
accounts,FetchDiscordIdByUsername,53.134,R,discordId,,,,
accounts,FetchGoogleIdByUsername,53.135,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,53.135,R,slot,,,,
sessions,FetchUUIDFromToken,53.527,R,uuid,,,,
activeClientSessions,UpdateActiveSession,53.527,W,uuid,clientSessionId,,,
sessionSaveData,DeleteSessionSaveData,53.529,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,54.056,R,uuid,,,,
activeClientSessions,IsActiveSession,54.460,R,id,,,,
accounts,FetchTrainerIds,54.460,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,54.461,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,54.461,R,data,,,,
accounts,UpdateAccountLastActivity,54.463,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,54.468,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,54.469,W,lastActivity,,,,
accountStats,UpdateAccountStats,54.471,W,stats,,,,
systemSaveData,StoreSystemSaveData,54.476,W,uuid,data,timeStamp,,
accounts,FetchPlayerCount,68.651,R,lastActivity,,,,
accounts,FetchBattleCount,68.659,R,banned,,,,
accountStats,FetchBattleCount,68.659,R,battleCount,,,,
accounts,FetchClassicSessionCount,68.668,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,68.668,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,95.217,R,uuid,,,,
activeClientSessions,IsActiveSession,95.218,R,id,,,,
accounts,FetchPlayerCount,98.651,R,lastActivity,,,,
accounts,FetchBattleCount,98.659,R,banned,,,,
accountStats,FetchBattleCount,98.659,R,battleCount,,,,
accounts,FetchClassicSessionCount,98.668,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,98.668,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,119.595,R,uuid,,,,
activeClientSessions,IsActiveSession,119.596,R,id,,,,
accounts,FetchPlayerCount,128.651,R,lastActivity,,,,
accounts,FetchBattleCount,128.659,R,banned,,,,
accountStats,FetchBattleCount,128.659,R,battleCount,,,,
accounts,FetchClassicSessionCount,128.668,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,128.668,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,139.197,R,uuid,,,,
activeClientSessions,IsActiveSession,139.197,R,id,,,,
accounts,FetchPlayerCount,158.659,R,lastActivity,,,,
accounts,FetchBattleCount,158.668,R,banned,,,,
accountStats,FetchBattleCount,158.668,R,battleCount,,,,
accounts,FetchClassicSessionCount,158.708,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,158.708,R,classicSessionPlayedCount,,,,
