Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.002,R,key,salt,,,
accounts,AddAccountSession,0.498,R,uuid,token,expire,,
sessions,AddAccountSession,0.498,W,uuid,token,expire,,
accounts,AddAccountSession,0.501,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,0.872,R,uuid,,,,
accounts,FetchUsernameFromUUID,0.873,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.873,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.873,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.874,R,slot,,,,
sessions,FetchUUIDFromToken,1.245,R,uuid,,,,
activeClientSessions,IsActiveSession,1.246,R,id,,,,
systemSaveData,ReadSystemSaveData,1.247,R,data,,,,
sessions,FetchUUIDFromToken,7.027,R,uuid,,,,
activeClientSessions,UpdateActiveSession,7.028,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,7.029,R,data,,,,
accounts,FetchPlayerCount,18.496,R,lastActivity,,,,
accounts,FetchBattleCount,18.505,R,banned,,,,
accountStats,FetchBattleCount,18.505,R,battleCount,,,,
accounts,FetchClassicSessionCount,18.514,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,18.514,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,19.589,R,uuid,,,,
activeClientSessions,UpdateActiveSession,19.589,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,19.591,R,data,,,,
sessions,FetchUUIDFromToken,19.592,R,uuid,,,,
activeClientSessions,UpdateActiveSession,19.592,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,19.593,R,data,,,,
sessions,FetchUUIDFromToken,19.594,R,uuid,,,,
sessions,FetchUUIDFromToken,19.594,R,uuid,,,,
activeClientSessions,UpdateActiveSession,19.595,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,19.595,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,19.595,R,data,,,,
sessionSaveData,ReadSessionSaveData,19.595,R,data,,,,
sessions,FetchUUIDFromToken,22.306,R,uuid,,,,
accounts,FetchUsernameFromUUID,22.307,R,userName,,,,
