login start!,,0.001,,,,,,
login,,0.001,,,,,,
sessions,FetchUUIDFromToken,0.219,R,uuid,,,,
Info,,0.219,,,,,,
accounts,FetchUsernameFromUUID,0.220,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.222,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.223,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.225,R,slot,,,,
sessions,FetchUUIDFromToken,0.417,R,uuid,,,,
activeClientSessions,UpdateActiveSession,0.421,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,0.422,R,data,,,,
sessions,FetchUUIDFromToken,0.619,R,uuid,,,,
activeClientSessions,IsActiveSession,0.620,R,id,,,,
get system,,0.620,,,,,,
systemSaveData,ReadSystemSaveData,0.621,R,data,,,,
sessions,FetchUUIDFromToken,0.846,R,uuid,,,,
updateAll,,0.846,,,,,,
activeClientSessions,IsActiveSession,1.617,R,id,,,,
accounts,FetchTrainerIds,1.618,R,trainerID,secretID,,,
accounts,UpdateTrainerIds,1.622,W,trainerID,secretID,,,
accountStats,RetrievePlaytime,1.623,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1.624,R,data,,,,
accounts,UpdateAccountLastActivity,1.626,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1.657,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1.658,W,lastActivity,,,,
accountStats,UpdateAccountStats,1.660,W,stats,,,,
systemSaveData,StoreSystemSaveData,1.731,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,3.828,R,uuid,,,,
activeClientSessions,IsActiveSession,3.829,R,id,,,,
verify system,,3.829,,,,,,
sessions,FetchUUIDFromToken,4.030,R,uuid,,,,
updateAll,,4.030,,,,,,
activeClientSessions,IsActiveSession,4.231,R,id,,,,
accounts,FetchTrainerIds,4.232,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,4.232,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,4.233,R,data,,,,
accounts,UpdateAccountLastActivity,4.236,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,4.270,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,4.271,W,lastActivity,,,,
accountStats,UpdateAccountStats,4.273,W,stats,,,,
systemSaveData,StoreSystemSaveData,4.359,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,6.009,R,uuid,,,,
activeClientSessions,IsActiveSession,6.010,R,id,,,,
verify system,,6.010,,,,,,
sessions,FetchUUIDFromToken,6.210,R,uuid,,,,
activeClientSessions,UpdateActiveSession,6.211,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,6.212,R,data,,,,
newclear session,,6.214,,,,,,
sessions,FetchUUIDFromToken,6.407,R,uuid,,,,
updateAll,,6.407,,,,,,
activeClientSessions,IsActiveSession,6.451,R,id,,,,
accounts,FetchTrainerIds,6.451,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,6.452,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,6.453,R,data,,,,
accounts,UpdateAccountLastActivity,6.457,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,6.483,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,6.484,W,lastActivity,,,,
accountStats,UpdateAccountStats,6.485,W,stats,,,,
systemSaveData,StoreSystemSaveData,6.549,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,6.742,R,uuid,,,,
activeClientSessions,UpdateActiveSession,6.743,W,uuid,clientSessionId,,,
clear session,,6.743,,,,,,
accounts,UpdateAccountLastActivity,6.744,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,6.747,W,sessionSaveData,,,,
sessions,RemoveSessionFromToken,7.016,W,token,,,,
logout,,7.016,,,,,,
