Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.002,R,key,salt,,,
accounts,AddAccountSession,0.489,R,uuid,token,expire,,
sessions,AddAccountSession,0.490,W,uuid,token,expire,,
accounts,AddAccountSession,0.492,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,1.203,R,uuid,,,,
accounts,FetchUsernameFromUUID,1.204,R,userName,,,,
accounts,FetchDiscordIdByUsername,1.204,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1.205,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1.205,R,slot,,,,
sessions,FetchUUIDFromToken,1.670,R,uuid,,,,
systemSaveData,ReadSystemSaveData,1.671,R,data,,,,
sessions,FetchUUIDFromToken,7.915,R,uuid,,,,
activeClientSessions,UpdateActiveSession,7.915,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,7.916,R,data,,,,
accounts,FetchPlayerCount,14.488,R,lastActivity,,,,
accounts,FetchBattleCount,14.497,R,banned,,,,
accountStats,FetchBattleCount,14.497,R,battleCount,,,,
accounts,FetchClassicSessionCount,14.505,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,14.505,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,24.977,R,uuid,,,,
activeClientSessions,UpdateActiveSession,24.978,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,24.979,R,data,,,,
sessions,FetchUUIDFromToken,25.463,R,uuid,,,,
activeClientSessions,UpdateActiveSession,25.463,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,25.465,R,data,,,,
sessions,FetchUUIDFromToken,25.465,R,uuid,,,,
sessions,FetchUUIDFromToken,25.465,R,uuid,,,,
activeClientSessions,UpdateActiveSession,25.465,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,25.466,R,data,,,,
activeClientSessions,UpdateActiveSession,25.467,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,25.468,R,data,,,,
sessions,FetchUUIDFromToken,29.039,R,uuid,,,,
accounts,FetchUsernameFromUUID,29.040,R,userName,,,,
accounts,FetchDiscordIdByUsername,29.040,R,discordId,,,,
accounts,FetchGoogleIdByUsername,29.041,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,29.042,R,slot,,,,
sessions,FetchUUIDFromToken,29.593,R,uuid,,,,
activeClientSessions,UpdateActiveSession,29.594,W,uuid,clientSessionId,,,
sessionSaveData,DeleteSessionSaveData,29.596,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,30.262,R,uuid,,,,
accounts,FetchTrainerIds,31.083,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,31.083,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,31.084,R,data,,,,
accounts,UpdateAccountLastActivity,31.085,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,31.091,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,31.091,W,lastActivity,,,,
accountStats,UpdateAccountStats,31.093,W,stats,,,,
systemSaveData,StoreSystemSaveData,31.098,W,uuid,data,timeStamp,,
accounts,FetchPlayerCount,44.485,R,lastActivity,,,,
accounts,FetchBattleCount,44.495,R,banned,,,,
accountStats,FetchBattleCount,44.495,R,battleCount,,,,
accounts,FetchClassicSessionCount,44.505,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,44.505,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,74.499,R,lastActivity,,,,
accounts,FetchBattleCount,74.507,R,banned,,,,
accountStats,FetchBattleCount,74.508,R,battleCount,,,,
accounts,FetchClassicSessionCount,74.516,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,74.516,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,82.684,R,uuid,,,,
accounts,FetchPlayerCount,104.486,R,lastActivity,,,,
accounts,FetchBattleCount,104.495,R,banned,,,,
accountStats,FetchBattleCount,104.495,R,battleCount,,,,
accounts,FetchClassicSessionCount,104.503,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,104.504,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,106.023,R,uuid,,,,
sessions,FetchUUIDFromToken,128.028,R,uuid,,,,
accounts,FetchPlayerCount,134.490,R,lastActivity,,,,
accounts,FetchBattleCount,134.498,R,banned,,,,
