Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.001,R,key,salt,,,
accounts,AddAccountSession,0.863,R,uuid,token,expire,,
sessions,AddAccountSession,0.863,W,uuid,token,expire,,
accounts,AddAccountSession,0.864,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,1.233,R,uuid,,,,
accounts,FetchUsernameFromUUID,1.234,R,userName,,,,
accounts,FetchDiscordIdByUsername,1.234,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1.234,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1.235,R,slot,,,,
sessions,FetchUUIDFromToken,1.593,R,uuid,,,,
activeClientSessions,IsActiveSession,1.594,R,id,,,,
activeClientSessions,UpdateActiveSession,1.595,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,1.596,R,data,,,,
accounts,FetchPlayerCount,2.083,R,lastActivity,,,,
accounts,FetchBattleCount,2.093,R,banned,,,,
accountStats,FetchBattleCount,2.094,R,battleCount,,,,
accounts,FetchClassicSessionCount,2.103,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,2.103,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,6.738,R,uuid,,,,
activeClientSessions,UpdateActiveSession,6.739,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,6.740,R,data,,,,
sessions,FetchUUIDFromToken,11.541,R,uuid,,,,
activeClientSessions,UpdateActiveSession,11.542,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,11.543,R,data,,,,
accounts,FetchPlayerCount,32.085,R,lastActivity,,,,
accounts,FetchBattleCount,32.095,R,banned,,,,
accountStats,FetchBattleCount,32.095,R,battleCount,,,,
accounts,FetchClassicSessionCount,32.141,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,32.141,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,36.819,R,uuid,,,,
activeClientSessions,UpdateActiveSession,36.820,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,36.821,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,36.821,R,data,,,,
activeClientSessions,UpdateActiveSession,36.821,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,36.822,R,data,,,,
sessions,FetchUUIDFromToken,36.978,R,uuid,,,,
activeClientSessions,UpdateActiveSession,36.979,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,36.979,R,data,,,,
sessions,FetchUUIDFromToken,36.990,R,uuid,,,,
activeClientSessions,UpdateActiveSession,36.991,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,36.991,R,data,,,,
sessions,FetchUUIDFromToken,39.869,R,uuid,,,,
accounts,FetchUsernameFromUUID,39.869,R,userName,,,,
accounts,FetchDiscordIdByUsername,39.870,R,discordId,,,,
accounts,FetchGoogleIdByUsername,39.870,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,39.871,R,slot,,,,
sessions,FetchUUIDFromToken,40.243,R,uuid,,,,
activeClientSessions,UpdateActiveSession,40.243,W,uuid,clientSessionId,,,
sessionSaveData,DeleteSessionSaveData,40.245,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,41.342,R,uuid,,,,
activeClientSessions,UpdateActiveSession,41.342,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,41.343,R,data,,,,
sessions,FetchUUIDFromToken,41.521,R,uuid,,,,
activeClientSessions,UpdateActiveSession,41.521,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,41.522,R,data,,,,
