login start!,,0.000,,,,,,
login,,0.000,,,,,,
sessions,FetchUUIDFromToken,0.283,R,uuid,,,,
Info,,0.283,,,,,,
accounts,FetchUsernameFromUUID,0.284,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.285,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.286,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.287,R,slot,,,,
sessions,FetchUUIDFromToken,0.540,R,uuid,,,,
activeClientSessions,IsActiveSession,0.541,R,id,,,,
get system,,0.541,,,,,,
activeClientSessions,UpdateActiveSession,0.543,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,0.544,R,data,,,,
sessions,FetchUUIDFromToken,17.576,R,uuid,,,,
activeClientSessions,UpdateActiveSession,17.577,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,17.578,R,data,,,,
sessions,RemoveSessionFromToken,22.093,W,token,,,,
logout,,22.093,,,,,,
