Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
activeClientSessions,UpdateActiveSession,568.372,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,568.372,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,568.372,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,568.372,R,data,,,,
sessions,FetchUUIDFromToken,568.372,R,uuid,,,,
activeClientSessions,UpdateActiveSession,568.373,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,568.373,R,data,,,,
activeClientSessions,UpdateActiveSession,568.373,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,568.373,R,data,,,,
sessionSaveData,ReadSessionSaveData,568.374,R,data,,,,
sessions,FetchUUIDFromToken,649.842,R,uuid,,,,
sessions,FetchUUIDFromToken,649.842,R,uuid,,,,
sessions,FetchUUIDFromToken,649.842,R,uuid,,,,
activeClientSessions,UpdateActiveSession,649.842,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,649.842,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,649.843,R,data,,,,
sessionSaveData,ReadSessionSaveData,649.843,R,data,,,,
activeClientSessions,UpdateActiveSession,649.843,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,649.843,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,649.843,R,data,,,,
sessions,FetchUUIDFromToken,649.844,R,uuid,,,,
activeClientSessions,UpdateActiveSession,649.844,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,649.844,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,649.845,R,data,,,,
sessionSaveData,ReadSessionSaveData,649.845,R,data,,,,
sessions,FetchUUIDFromToken,651.607,R,uuid,,,,
updateAll,,651.607,,,,,,
activeClientSessions,IsActiveSession,651.615,R,id,,,,
accounts,FetchTrainerIds,651.616,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,651.616,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,651.617,R,data,,,,
accounts,UpdateAccountLastActivity,651.618,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,651.622,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,651.623,W,lastActivity,,,,
accountStats,UpdateAccountStats,651.625,W,stats,,,,
systemSaveData,StoreSystemSaveData,651.637,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,692.076,R,uuid,,,,
activeClientSessions,IsActiveSession,692.076,R,id,,,,
verify system,,692.076,,,,,,
sessions,FetchUUIDFromToken,727.285,R,uuid,,,,
activeClientSessions,IsActiveSession,727.285,R,id,,,,
verify system,,727.285,,,,,,
sessions,FetchUUIDFromToken,750.847,R,uuid,,,,
activeClientSessions,IsActiveSession,750.848,R,id,,,,
verify system,,750.848,,,,,,
sessions,FetchUUIDFromToken,810.404,R,uuid,,,,
activeClientSessions,IsActiveSession,810.404,R,id,,,,
verify system,,810.404,,,,,,
sessions,FetchUUIDFromToken,891.994,R,uuid,,,,
updateAll,,891.994,,,,,,
activeClientSessions,IsActiveSession,892.002,R,id,,,,
accounts,FetchTrainerIds,892.003,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,892.003,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,892.004,R,data,,,,
accounts,UpdateAccountLastActivity,892.006,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,892.015,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,892.016,W,lastActivity,,,,
accountStats,UpdateAccountStats,892.017,W,stats,,,,
systemSaveData,StoreSystemSaveData,892.037,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,963.639,R,uuid,,,,
activeClientSessions,IsActiveSession,963.640,R,id,,,,
verify system,,963.640,,,,,,
sessions,FetchUUIDFromToken,1023.156,R,uuid,,,,
activeClientSessions,IsActiveSession,1023.156,R,id,,,,
verify system,,1023.156,,,,,,
sessions,FetchUUIDFromToken,1126.969,R,uuid,,,,
activeClientSessions,IsActiveSession,1126.970,R,id,,,,
verify system,,1126.970,,,,,,
sessions,FetchUUIDFromToken,1251.258,R,uuid,,,,
updateAll,,1251.258,,,,,,
activeClientSessions,IsActiveSession,1251.269,R,id,,,,
accounts,FetchTrainerIds,1251.270,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1251.270,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1251.271,R,data,,,,
accounts,UpdateAccountLastActivity,1251.273,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1251.284,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1251.285,W,lastActivity,,,,
accountStats,UpdateAccountStats,1251.287,W,stats,,,,
systemSaveData,StoreSystemSaveData,1251.299,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1364.759,R,uuid,,,,
updateAll,,1364.759,,,,,,
activeClientSessions,IsActiveSession,1365.475,R,id,,,,
accounts,FetchTrainerIds,1365.475,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1365.476,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1365.476,R,data,,,,
accounts,UpdateAccountLastActivity,1365.479,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1365.483,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1365.484,W,lastActivity,,,,
accountStats,UpdateAccountStats,1365.485,W,stats,,,,
systemSaveData,StoreSystemSaveData,1365.506,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,22.493,R,uuid,,,,
activeClientSessions,IsActiveSession,22.494,R,id,,,,
verify system,,22.494,,,,,,
sessions,FetchUUIDFromToken,120.606,R,uuid,,,,
activeClientSessions,IsActiveSession,120.607,R,id,,,,
verify system,,120.607,,,,,,
sessions,FetchUUIDFromToken,225.408,R,uuid,,,,
activeClientSessions,IsActiveSession,225.409,R,id,,,,
verify system,,225.409,,,,,,
sessions,FetchUUIDFromToken,276.798,R,uuid,,,,
activeClientSessions,UpdateActiveSession,276.799,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,276.799,R,data,,,,
newclear session,,276.801,,,,,,
sessions,FetchUUIDFromToken,280.470,R,uuid,,,,
updateAll,,280.470,,,,,,
activeClientSessions,IsActiveSession,280.653,R,id,,,,
accounts,FetchTrainerIds,280.653,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,280.654,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,280.654,R,data,,,,
accounts,UpdateAccountLastActivity,280.657,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,280.664,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,280.664,W,lastActivity,,,,
accountStats,UpdateAccountStats,280.666,W,stats,,,,
systemSaveData,StoreSystemSaveData,280.678,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,281.166,R,uuid,,,,
activeClientSessions,UpdateActiveSession,281.167,W,uuid,clientSessionId,,,
clear session,,281.167,,,,,,
accounts,UpdateAccountLastActivity,281.168,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,281.170,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,281.851,R,uuid,,,,
Info,,281.851,,,,,,
accounts,FetchUsernameFromUUID,281.851,R,userName,,,,
accounts,FetchDiscordIdByUsername,281.852,R,discordId,,,,
accounts,FetchGoogleIdByUsername,281.853,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,281.854,R,slot,,,,
sessions,RemoveSessionFromToken,304.771,W,token,,,,
logout,,304.771,,,,,,
