login start!,,0.061,,,,,,
login,,0.061,,,,,,
sessions,FetchUUIDFromToken,0.256,R,uuid,,,,
Info,,0.256,,,,,,
accounts,FetchUsernameFromUUID,0.257,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.258,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.259,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.260,R,slot,,,,
sessions,FetchUUIDFromToken,0.447,R,uuid,,,,
activeClientSessions,IsActiveSession,0.448,R,id,,,,
get system,,0.448,,,,,,
activeClientSessions,UpdateActiveSession,0.450,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,0.450,R,data,,,,
sessions,FetchUUIDFromToken,0.901,R,uuid,,,,
activeClientSessions,UpdateActiveSession,0.902,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,0.902,R,data,,,,
sessions,FetchUUIDFromToken,650.506,R,uuid,,,,
updateAll,,650.506,,,,,,
activeClientSessions,IsActiveSession,651.092,R,id,,,,
accounts,FetchTrainerIds,651.093,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,651.094,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,651.095,R,data,,,,
accounts,UpdateAccountLastActivity,651.099,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,651.106,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,651.107,W,lastActivity,,,,
accountStats,UpdateAccountStats,651.109,W,stats,,,,
systemSaveData,StoreSystemSaveData,651.135,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,66663.653,R,uuid,,,,
Info,,66663.653,,,,,,
accounts,FetchUsernameFromUUID,66663.654,R,userName,,,,
accounts,FetchDiscordIdByUsername,66663.656,R,discordId,,,,
accounts,FetchGoogleIdByUsername,66663.657,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,66663.659,R,slot,,,,
sessions,FetchUUIDFromToken,66663.857,R,uuid,,,,
activeClientSessions,IsActiveSession,66663.858,R,id,,,,
get system,,66663.858,,,,,,
activeClientSessions,UpdateActiveSession,66663.862,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,66663.864,R,data,,,,
sessions,FetchUUIDFromToken,66664.155,R,uuid,,,,
activeClientSessions,UpdateActiveSession,66664.156,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,66664.157,R,data,,,,
sessions,FetchUUIDFromToken,66786.117,R,uuid,,,,
Info,,66786.117,,,,,,
accounts,FetchUsernameFromUUID,66786.118,R,userName,,,,
accounts,FetchDiscordIdByUsername,66786.119,R,discordId,,,,
accounts,FetchGoogleIdByUsername,66786.120,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,66786.120,R,slot,,,,
sessions,FetchUUIDFromToken,66786.311,R,uuid,,,,
activeClientSessions,IsActiveSession,66786.312,R,id,,,,
get system,,66786.312,,,,,,
activeClientSessions,UpdateActiveSession,66786.314,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,66786.315,R,data,,,,
sessions,FetchUUIDFromToken,66786.586,R,uuid,,,,
activeClientSessions,UpdateActiveSession,66786.587,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,66786.588,R,data,,,,
sessions,FetchUUIDFromToken,67208.784,R,uuid,,,,
Info,,67208.784,,,,,,
accounts,FetchUsernameFromUUID,67208.785,R,userName,,,,
accounts,FetchDiscordIdByUsername,67208.786,R,discordId,,,,
accounts,FetchGoogleIdByUsername,67208.786,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,67208.787,R,slot,,,,
sessions,FetchUUIDFromToken,67208.986,R,uuid,,,,
activeClientSessions,IsActiveSession,67208.987,R,id,,,,
get system,,67208.987,,,,,,
activeClientSessions,UpdateActiveSession,67208.989,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,67208.989,R,data,,,,
sessions,FetchUUIDFromToken,67209.284,R,uuid,,,,
activeClientSessions,UpdateActiveSession,67209.285,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,67209.285,R,data,,,,
sessions,FetchUUIDFromToken,79309.174,R,uuid,,,,
Info,,79309.174,,,,,,
accounts,FetchUsernameFromUUID,79309.175,R,userName,,,,
accounts,FetchDiscordIdByUsername,79309.178,R,discordId,,,,
accounts,FetchGoogleIdByUsername,79309.179,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,79309.181,R,slot,,,,
sessions,FetchUUIDFromToken,79309.370,R,uuid,,,,
activeClientSessions,IsActiveSession,79309.371,R,id,,,,
get system,,79309.371,,,,,,
activeClientSessions,UpdateActiveSession,79309.380,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,79309.382,R,data,,,,
sessions,FetchUUIDFromToken,79309.646,R,uuid,,,,
activeClientSessions,UpdateActiveSession,79309.647,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,79309.647,R,data,,,,
sessions,FetchUUIDFromToken,79345.735,R,uuid,,,,
Info,,79345.735,,,,,,
accounts,FetchUsernameFromUUID,79345.735,R,userName,,,,
accounts,FetchDiscordIdByUsername,79345.736,R,discordId,,,,
accounts,FetchGoogleIdByUsername,79345.737,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,79345.738,R,slot,,,,
sessions,FetchUUIDFromToken,79345.934,R,uuid,,,,
activeClientSessions,IsActiveSession,79345.935,R,id,,,,
get system,,79345.935,,,,,,
activeClientSessions,UpdateActiveSession,79345.937,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,79345.938,R,data,,,,
sessions,FetchUUIDFromToken,79346.418,R,uuid,,,,
activeClientSessions,UpdateActiveSession,79346.419,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,79346.419,R,data,,,,
sessions,FetchUUIDFromToken,79695.342,R,uuid,,,,
activeClientSessions,UpdateActiveSession,79695.344,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,79695.345,R,data,,,,
newclear session,,79695.348,,,,,,
sessions,FetchUUIDFromToken,79696.848,R,uuid,,,,
updateAll,,79696.848,,,,,,
activeClientSessions,IsActiveSession,79697.434,R,id,,,,
accounts,FetchTrainerIds,79697.435,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,79697.436,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,79697.436,R,data,,,,
accounts,UpdateAccountLastActivity,79697.443,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,79697.461,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,79697.461,W,lastActivity,,,,
accountStats,UpdateAccountStats,79697.463,W,stats,,,,
systemSaveData,StoreSystemSaveData,79697.493,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,79697.691,R,uuid,,,,
activeClientSessions,UpdateActiveSession,79697.691,W,uuid,clientSessionId,,,
clear session,,79697.692,,,,,,
accounts,UpdateAccountLastActivity,79697.695,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,79697.700,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,79697.897,R,uuid,,,,
Info,,79697.897,,,,,,
