Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
sessions,FetchUUIDFromToken,1119.766,R,uuid,,,,
updateAll,,1119.766,,,,,,
activeClientSessions,IsActiveSession,1119.805,R,id,,,,
accounts,FetchTrainerIds,1119.805,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1119.806,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1119.807,R,data,,,,
accounts,UpdateAccountLastActivity,1119.810,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1119.818,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1119.819,W,lastActivity,,,,
accountStats,UpdateAccountStats,1119.821,W,stats,,,,
systemSaveData,StoreSystemSaveData,1119.834,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1121.095,R,uuid,,,,
Info,,1121.095,,,,,,
accounts,FetchUsernameFromUUID,1121.095,R,userName,,,,
accounts,FetchDiscordIdByUsername,1121.096,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1121.097,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1121.097,R,slot,,,,
sessions,FetchUUIDFromToken,1121.471,R,uuid,,,,
activeClientSessions,IsActiveSession,1121.471,R,id,,,,
get system,,1121.472,,,,,,
systemSaveData,ReadSystemSaveData,1121.472,R,data,,,,
sessions,FetchUUIDFromToken,1122.484,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1122.485,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1122.485,R,data,,,,
sessions,RemoveSessionFromToken,1219.391,W,token,,,,
logout,,1219.391,,,,,,
