login start!,,0.001,,,,,,
login,,0.001,,,,,,
sessions,FetchUUIDFromToken,0.195,R,uuid,,,,
Info,,0.195,,,,,,
accounts,FetchUsernameFromUUID,0.195,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.196,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.197,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.198,R,slot,,,,
sessions,FetchUUIDFromToken,0.392,R,uuid,,,,
activeClientSessions,IsActiveSession,0.392,R,id,,,,
get system,,0.392,,,,,,
activeClientSessions,UpdateActiveSession,0.396,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,0.397,R,data,,,,
sessions,FetchUUIDFromToken,78.347,R,uuid,,,,
sessions,FetchUUIDFromToken,78.348,R,uuid,,,,
activeClientSessions,UpdateActiveSession,78.348,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,78.348,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,78.349,R,data,,,,
sessionSaveData,ReadSessionSaveData,78.349,R,data,,,,
sessions,FetchUUIDFromToken,78.353,R,uuid,,,,
activeClientSessions,UpdateActiveSession,78.354,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,78.354,R,data,,,,
sessions,FetchUUIDFromToken,78.535,R,uuid,,,,
activeClientSessions,UpdateActiveSession,78.536,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,78.537,R,data,,,,
sessions,FetchUUIDFromToken,80.741,R,uuid,,,,
updateAll,,80.741,,,,,,
activeClientSessions,IsActiveSession,81.317,R,id,,,,
accounts,FetchTrainerIds,81.318,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,81.318,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,81.319,R,data,,,,
accounts,UpdateAccountLastActivity,81.320,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,81.330,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,81.333,W,lastActivity,,,,
accountStats,UpdateAccountStats,81.334,W,stats,,,,
systemSaveData,StoreSystemSaveData,81.395,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,101.535,R,uuid,,,,
activeClientSessions,IsActiveSession,101.536,R,id,,,,
verify system,,101.536,,,,,,
sessions,FetchUUIDFromToken,114.155,R,uuid,,,,
activeClientSessions,IsActiveSession,114.156,R,id,,,,
verify system,,114.156,,,,,,
sessions,FetchUUIDFromToken,136.788,R,uuid,,,,
activeClientSessions,IsActiveSession,136.788,R,id,,,,
verify system,,136.788,,,,,,
sessions,FetchUUIDFromToken,159.107,R,uuid,,,,
activeClientSessions,IsActiveSession,159.108,R,id,,,,
verify system,,159.108,,,,,,
sessions,FetchUUIDFromToken,194.541,R,uuid,,,,
updateAll,,194.541,,,,,,
activeClientSessions,IsActiveSession,195.405,R,id,,,,
accounts,FetchTrainerIds,195.406,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,195.406,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,195.407,R,data,,,,
accounts,UpdateAccountLastActivity,195.410,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,195.419,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,195.420,W,lastActivity,,,,
accountStats,UpdateAccountStats,195.421,W,stats,,,,
systemSaveData,StoreSystemSaveData,195.433,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,221.583,R,uuid,,,,
activeClientSessions,IsActiveSession,221.584,R,id,,,,
verify system,,221.584,,,,,,
sessions,FetchUUIDFromToken,250.917,R,uuid,,,,
activeClientSessions,IsActiveSession,250.918,R,id,,,,
verify system,,250.918,,,,,,
sessions,FetchUUIDFromToken,288.053,R,uuid,,,,
Info,,288.053,,,,,,
accounts,FetchUsernameFromUUID,288.054,R,userName,,,,
accounts,FetchDiscordIdByUsername,288.055,R,discordId,,,,
accounts,FetchGoogleIdByUsername,288.056,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,288.056,R,slot,,,,
sessions,FetchUUIDFromToken,288.252,R,uuid,,,,
activeClientSessions,IsActiveSession,288.253,R,id,,,,
get system,,288.253,,,,,,
activeClientSessions,UpdateActiveSession,288.255,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,288.255,R,data,,,,
sessions,FetchUUIDFromToken,392.556,R,uuid,,,,
activeClientSessions,IsActiveSession,392.556,R,id,,,,
verify system,,392.557,,,,,,
sessions,FetchUUIDFromToken,412.818,R,uuid,,,,
activeClientSessions,IsActiveSession,412.819,R,id,,,,
verify system,,412.819,,,,,,
sessions,FetchUUIDFromToken,425.930,R,uuid,,,,
updateAll,,425.930,,,,,,
activeClientSessions,IsActiveSession,426.130,R,id,,,,
accounts,FetchTrainerIds,426.131,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,426.132,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,426.132,R,data,,,,
accounts,UpdateAccountLastActivity,426.137,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,426.150,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,426.151,W,lastActivity,,,,
accountStats,UpdateAccountStats,426.153,W,stats,,,,
systemSaveData,StoreSystemSaveData,426.174,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,465.051,R,uuid,,,,
activeClientSessions,IsActiveSession,465.052,R,id,,,,
verify system,,465.052,,,,,,
sessions,FetchUUIDFromToken,520.860,R,uuid,,,,
activeClientSessions,IsActiveSession,520.861,R,id,,,,
verify system,,520.861,,,,,,
sessions,FetchUUIDFromToken,564.922,R,uuid,,,,
activeClientSessions,IsActiveSession,564.923,R,id,,,,
verify system,,564.923,,,,,,
sessions,FetchUUIDFromToken,585.114,R,uuid,,,,
activeClientSessions,IsActiveSession,585.115,R,id,,,,
verify system,,585.115,,,,,,
sessions,FetchUUIDFromToken,601.921,R,uuid,,,,
updateAll,,601.921,,,,,,
activeClientSessions,IsActiveSession,602.121,R,id,,,,
accounts,FetchTrainerIds,602.122,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,602.123,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,602.123,R,data,,,,
accounts,UpdateAccountLastActivity,602.126,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,602.143,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,602.144,W,lastActivity,,,,
accountStats,UpdateAccountStats,602.146,W,stats,,,,
systemSaveData,StoreSystemSaveData,602.164,W,uuid,data,timeStamp,,
